cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi
01310-100,Avenida Paulista,de 612 a 1510 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
20040-020,Praça Pio X,lado ímpar,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
30130-001,Avenida Afonso Pena,até 654 - lado par,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
80010-010,Rua Marechal Deodoro,até 0766 - lado par,,Centro,Curitiba,PR,Paraná,Sul,4106902,,41,7535
90010-000,Rua Siqueira Campos,até 944/945,,Centro Histórico,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902,,51,8801
70040-010,Quadra SBN Quadra 1,,,Asa Norte,Brasília,DF,Distrito Federal,Centro-Oeste,5300108,,61,9701
50030-000,Avenida Marquês de Olinda,,,Recife,Recife,PE,Pernambuco,Nordeste,2611606,,81,2531
69005-000,Rua Marechal Deodoro,,,Centro,Manaus,AM,Amazonas,Norte,1302603,,92,0255
01310-100,Avenida Paulista,de 612 a 1510 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
20040-020,Praça Pio X,lado ímpar,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
30130-001,Avenida Afonso Pena,até 654 - lado par,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
80010-010,Rua Marechal Deodoro,até 0766 - lado par,,Centro,Curitiba,PR,Paraná,Sul,4106902,,41,7535
70040-010,Quadra SBN Quadra 1,,,Asa Norte,Brasília,DF,Distrito Federal,Centro-Oeste,5300108,,61,9701
50030-000,Avenida Marquês de Olinda,,,Recife,Recife,PE,Pernambuco,Nordeste,2611606,,81,2531
69005-000,Rua Marechal Deodoro,,,Centro,Manaus,AM,Amazonas,Norte,1302603,,92,0255
01310-100,Avenida Paulista,de 612 a 1510 - lado par,,Bela Vista,São Paulo,SP,São Paulo,Sudeste,3550308,1004,11,7107
20040-020,Praça Pio X,lado ímpar,,Centro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,3304557,,21,6001
30130-001,Avenida Afonso Pena,até 654 - lado par,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123
80010-010,Rua Marechal Deodoro,até 0766 - lado par,,Centro,Curitiba,PR,Paraná,Sul,4106902,,41,7535
90010-000,Rua Siqueira Campos,até 944/945,,Centro Histórico,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902,,51,8801
70040-010,Quadra SBN Quadra 1,,,Asa Norte,Brasília,DF,Distrito Federal,Centro-Oeste,5300108,,61,9701
50030-000,Avenida Marquês de Olinda,,,Recife,Recife,PE,Pernambuco,Nordeste,2611606,,81,2531
69005-000,Rua Marechal Deodoro,,,Centro,Manaus,AM,Amazonas,Norte,1302603,,92,0255
